keyword,category,base_meaning,positive,negative,mbti_intj,mbti_intp,mbti_entj,mbti_entp,mbti_infj,mbti_infp,mbti_enfj,mbti_enfp,mbti_istj,mbti_isfj,mbti_estj,mbti_esfj,mbti_istp,mbti_isfp,mbti_estp,mbti_esfp
하늘,자연,무한한 가능성과 자유,희망·목표 달성,이상과 현실 괴리,전략이 빛을 발할 시기,새로운 이론이 완성될 조짐,리더십 확장의 기회,혁신적 아이디어가 떠오름,직관이 올바른 방향을 가리킴,꿈과 이상이 현실에 가까워짐,사람들을 이끌 기회가 옴,열정이 폭발할 시기,안정적 성과가 인정받을 때,헌신이 결실을 맺는 시기,목표 달성의 신호,따뜻한 관계가 깊어질 때,실용적 도전의 순간,감성이 풍부해지는 시기,즉각적 행동이 빛날 때,기쁨과 자유를 만끽할 시기
물,자연,감정과 무의식의 흐름,정화·치유·새 출발,감정 과부하·불안,감정보다 분석이 필요한 시기,무의식적 통찰을 활용할 때,감정적 장벽을 넘어설 때,유연한 사고로 문제를 풀 때,깊은 감정이 통찰로 이어질 때,감정을 솔직히 표현할 때,공감 능력이 빛을 발할 때,감수성으로 새 길을 열 때,흐름을 따르면 안정됨,부드러움으로 상황을 풀 때,감정 소통이 관계를 강화,실용적으로 감정을 다룰 때,내면의 감성을 믿을 때,유연하게 흐름을 탈 때,감정 표현이 관계를 풀어줌
불,자연,열정·변화·정화의 에너지,성공·추진력·변화,충동·파괴·갈등,목표를 향한 강렬한 의지,지적 탐구에 불이 붙는 시기,리더십 에너지가 최고조,변화를 두려워 말고 도전할 때,정의감이 행동으로 이어질 때,창작 열정이 폭발하는 시기,사람들에게 영감을 줄 때,에너지가 넘치는 활동적 시기,꾸준한 노력에 불이 붙음,따뜻한 헌신이 더욱 빛남,강한 의지로 목표 돌파,화합의 에너지가 넘침,문제 해결에 집중력 발휘,감성의 불꽃이 타오름,즉각적 행동으로 성과 냄,활기찬 에너지가 폭발
뱀,동물,지혜·변화·위험의 상징,지혜·재생·변화,배신·위험·불안,숨겨진 위험을 분석할 때,이면의 진실을 탐구할 때,전략적으로 위험을 제거할 때,창의적으로 문제를 우회할 때,깊은 통찰로 위험을 감지,내면의 두려움과 마주할 때,주변을 세심하게 살펴야 할 때,직관으로 위험 신호를 감지,신뢰할 사람을 신중히 선택,관계에서 주의가 필요한 시기,냉정하게 상황을 재점검,관계의 균형을 살펴볼 때,실용적 판단으로 위험 회피,감성으로 진심을 구별,경험으로 위험을 판단,긍정적 에너지로 두려움 극복
돈,사물,물질적 풍요와 가치,재물 운·성공·안정,물질에 집착·가치관 혼란,장기적 재무 전략을 세울 때,가치 있는 곳에 투자할 때,목표 달성의 물질적 보상,새로운 수익 아이디어가 떠오름,진정한 가치를 찾는 시기,내면의 풍요를 먼저 채울 때,나눔으로 더 큰 풍요를 얻음,열정을 돈으로 연결할 때,꾸준한 저축이 빛을 발함,헌신의 물질적 보상이 옴,노력의 결실을 거두는 시기,관계에서 풍요가 찾아옴,실용적 투자 기회가 옴,직관적 가치 판단이 맞음,즉흥적 기회를 잡을 때,기쁨이 물질적 풍요로 이어짐
죽음,상황,끝과 새 시작의 상징,변화·재생·새 출발,두려움·상실·변화 거부,낡은 전략을 버리고 새롭게,기존 이론을 혁신할 시기,과거의 방식을 버리고 전진,아이디어를 완전히 새로 짤 때,내면의 변화를 받아들일 때,오래된 상처를 치유할 시기,변화로 더 나은 관계 만들 때,새로운 열정의 문이 열림,안정을 위해 변화를 받아들임,헌신의 방향을 새로 정할 때,새로운 목표로 재출발,관계의 새 장을 열 때,실용적 변화를 결단할 때,감성의 새 장이 열림,새로운 모험이 시작됨,새로운 기쁨의 시작
비행,행동,자유·초월·목표 달성,성공·해방·새로운 관점,현실 도피·불안정,큰 그림을 볼 때,고차원 이론을 탐구할 때,높은 목표를 향해 도약,기존 한계를 넘어설 때,높은 이상이 현실로 이어짐,꿈이 현실이 되는 시기,사람들을 높은 곳으로 이끔,자유로운 영감이 솟구침,안정적 도약을 준비할 때,사랑하는 이들을 지키며 날음,목표를 향해 힘차게 전진,모두와 함께 날아오를 때,실용적 도약의 시기,자유로운 감성으로 비상,즉흥적 도전으로 날아오름,기쁨과 자유를 만끽
시험,상황,자신의 능력에 대한 도전,성취·인정·성장,불안·자기 의심,철저한 준비가 빛을 발함,논리적 분석으로 완벽 대비,리더로서의 능력을 증명,창의적 답으로 승부할 때,깊은 통찰이 정답을 알려줌,진심 어린 노력이 인정받음,준비한 것이 모두에게 도움,열정이 실력으로 증명됨,꾸준한 노력이 결실을 맺음,헌신이 좋은 결과로 이어짐,체계적 준비가 성공을 만듦,따뜻한 지원이 힘이 됨,경험에서 나오는 실력 발휘,감성적 직관이 도움이 됨,즉각적 실력 발휘의 기회,자신감이 최고의 무기
추락,행동,통제력 상실·두려움,자아 성찰·재정비,실패 공포·자신감 부족,전략을 재점검할 시기,분석으로 원인을 찾을 때,리더십을 재정비할 때,새 방향으로 전환할 기회,내면의 두려움을 직면할 때,자아 성찰로 성장할 시기,주변을 돌아보며 재정비,열정의 방향을 재조정,안정을 위해 재점검,주변의 지원을 받아들일 때,목표를 재설정할 시기,관계에서 균형 찾을 때,실용적으로 재정비,감성으로 두려움을 이겨낼 때,빠른 재정비로 반전 만듦,긍정으로 두려움 극복
결혼,관계,결합·약속·새로운 시작,사랑·안정·행복,책임·변화에 대한 두려움,장기적 관계 전략을 세울 때,관계의 깊이를 탐구할 때,강력한 파트너십 형성,관계에서 새로운 시너지 창출,깊은 인연이 다가오는 시기,진심 어린 사랑이 꽃 피움,사람들을 하나로 연결할 때,열정적 사랑의 새 장,안정적 관계의 토대를 다짐,헌신적 사랑이 결실을 맺음,강한 관계 기반을 구축,따뜻한 결합이 이루어짐,실용적 파트너십이 완성,감성적 유대가 깊어짐,새로운 관계 모험의 시작,기쁨 가득한 새 인연
