mbti,type_name,core_trait,strength,weakness,love_style,work_style,decision_style,tarot_affinity,short_desc
INTJ,전략가,냉철한 독립주의자,장기적 계획·분석력,감정 표현 부족·완벽주의,신중하고 깊은 관계 추구,혼자서 집중하며 체계적으로,데이터와 논리로 판단,별·탑·세계,목표가 명확하면 반드시 이룹니다
INTP,논리술사,논리적 사색가,창의적 분석·객관성,우유부단·감정 둔감,지적 교류를 사랑,혼자 깊게 파고드는 연구형,가능성을 끝까지 탐색 후 결정,마법사·은둔자·별,새로운 아이디어가 넘치는 시기입니다
ENTJ,통솔자,대담한 리더,목표 달성력·카리스마,고집·남 배려 부족,파트너를 이끄는 스타일,팀을 진두지휘하며 목표 돌진,빠르고 단호하게 결정,황제·전차·태양,리더십을 발휘할 기회가 찾아옵니다
ENTP,변론가,논쟁을 즐기는 혁신가,창의력·빠른 적응,집중력 부족·논쟁적,새로움과 자극을 즐기는 연애,아이디어를 폭발적으로 제안,여러 옵션을 즐기며 유연하게,광대·마법사·바퀴,변화와 도전이 당신을 기다립니다
INFJ,옹호자,신비로운 이상주의자,깊은 공감·통찰력,번아웃·완벽주의,깊고 의미 있는 관계,사람을 돕는 일에 헌신,가치관과 직관으로 결정,여사제·달·심판,직관이 이번에도 옳을 가능성이 높습니다
INFP,중재자,열정적인 몽상가,공감 능력·창의성,현실 감각 부족·자기비판,감정과 가치관 중심의 사랑,혼자만의 창작과 의미 추구,내면의 가치와 감정으로 결정,달·별·연인,마음이 이끄는 방향이 정답입니다
ENFJ,선도자,카리스마 있는 멘토,사람을 이끄는 공감 리더십,타인 의존·자기 희생,헌신적이고 따뜻한 연애,팀 화합을 이끄는 조력자,사람과 감정을 중심으로 결정,태양·심판·황후,주변 사람들이 당신의 힘이 됩니다
ENFP,활동가,자유로운 영혼의 열정가,에너지·창의성·공감,집중력 부족·감정 기복,열정적이고 로맨틱한 사랑,영감을 불어넣는 아이디어맨,직관과 열정으로 빠르게 결정,별·태양·광대,열정이 새로운 문을 열어줄 것입니다
ISTJ,현실주의자,책임감 있는 관리자,신뢰성·꼼꼼함·성실,변화 거부·융통성 부족,안정적이고 헌신적인 사랑,규칙과 절차를 철저히 따름,검증된 데이터와 경험으로 결정,황제·힘·정의,꾸준함이 빛을 발할 시기입니다
ISFJ,수호자,따뜻한 방어자,헌신·세심함·충성심,자기 주장 부족·소진,보살피고 지지하는 사랑,뒤에서 묵묵히 지원하는 역할,안전하고 검증된 선택을 선호,황후·힘·별,당신의 배려가 큰 보상으로 돌아옵니다
ESTJ,경영자,엄격한 관리자,조직력·책임감·추진력,감정 표현 서툼·고집,전통적이고 헌신적인 사랑,체계적으로 팀을 이끄는 관리형,논리와 효율로 즉각 결정,황제·전차·정의,체계적인 접근이 성공을 이끕니다
ESFJ,집정관,사교적인 외교관,배려심·화합 능력·충성,비판 수용 어려움·타인 의존,모두를 행복하게 하는 헌신적 사랑,팀워크와 화합을 중시,주변 반응과 조화로 결정,황후·태양·심판,관계에서 큰 기쁨을 얻는 시기입니다
ISTP,장인,대담한 탐험가,문제 해결·독립심·실용성,감정 표현 서툼·충동적,자유롭고 독립적인 연애,혼자서 실용적으로 문제 해결,직접 경험하고 즉흥적으로 결정,마법사·전차·은둔자,실행력이 당신의 최대 무기입니다
ISFP,모험가,유연한 예술가,감수성·개방성·현재에 충실,자기 주장 약함·미래 계획 부족,조용하고 진실된 사랑,자신만의 방식으로 창의적 작업,현재 감정과 가치로 자연스럽게,별·달·연인,감성이 풍부해지는 특별한 시기입니다
ESTP,사업가,활동적인 실용주의자,행동력·유연성·사교성,충동적·인내 부족,스릴과 즐거움 중심의 연애,빠른 판단으로 즉시 행동,눈앞의 현실과 직관으로 즉결,전차·마법사·바퀴,지금 바로 행동할 때입니다
ESFP,연예인,자유로운 엔터테이너,낙관성·사교성·즉흥성,계획 부족·집중력 약함,열정적이고 즐거운 사랑,사람들에게 에너지와 활력 제공,현재 감정과 분위기로 즉흥 결정,태양·별·광대,기쁨과 축제가 당신을 기다립니다
